"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AMER1",350.39719419102,0.229353890929619,0.120550562127089,0.0479198717639503,0.0812741871563718
"AMER2",18.2958147151531,-0.996907394740202,0.429980616756052,0.00257947819414697,0.00605145383635309
"AMFR",1963.04870858933,0.000299697531068175,0.0524041721528727,0.996304587189838,0.997105186253384
"AMH",147.268473284681,0.43203756581629,0.149493034384113,0.0021810106235898,0.00520027444058779
"AMHR2",261.707119232463,1.69962457289096,0.173473416476295,9.76863689327138e-24,2.09377537202938e-22
"AMIGO1",463.809294564405,0.243427682428536,0.102913563444236,0.0150139384881145,0.0293465313074006
"AMIGO2",474.201022491359,-0.639133625755857,0.172258084350994,6.94926082352688e-05,0.000222459968673865
"AMIGO3",42.5818955729977,0.0525759716166386,0.444263189047058,0.654560321401764,0.729349936196976
"AMMECR1",587.856207553486,-0.659500794168327,0.104885075242915,1.22120247925657e-10,8.68037440068816e-10
"AMMECR1L",732.96159193001,-0.367454579033563,0.0876729183118456,1.87859265715376e-05,6.61419641259468e-05
"AMN",11.2615100182696,0.340295045045669,0.365288655566063,0.180099923550502,0.254671118348204
"AMN1",137.278578482997,0.0546163612960707,0.136620481718261,0.670379874309619,0.743177590774666
"AMOT",940.155154152341,0.39680870417506,0.0953282726459743,1.95191428353317e-05,6.84835713520462e-05
"AMOTL1",1592.91772561576,0.320300305158315,0.0941746048118303,0.000493128554410135,0.00134814803525455
"AMOTL2",2485.86355119058,0.499957671141706,0.135979907336178,0.000111512480794663,0.000344654156428405
"AMPD2",2289.13926712738,1.35441458110633,0.080935290063367,6.51226214139486e-64,1.02440714902463e-61
"AMPD3",469.723365200074,0.610551620370525,0.109987753102601,1.06907730488784e-08,5.98378974177632e-08
"AMPH",106.095769204237,0.404446788747923,0.153116199065713,0.00493659139963325,0.0108535413732821
"AMT",614.911901477939,-0.210585608797704,0.0946859501403889,0.0228145614044176,0.042504162286912
"AMY2B",372.262704277054,0.509550622252905,0.125122180469634,2.26570911068295e-05,7.8684349802754e-05
"AMZ1",80.465499579884,-0.172831409115901,0.207880834776319,0.348771247614689,0.442786993427589
"AMZ2",1196.9983119401,-0.0289702571564749,0.0640717812293929,0.651999262058859,0.727224415491421
"AMZ2P1",184.323898429627,0.596601971247784,0.127753001312531,1.18951989822307e-06,4.99963172835858e-06
"ANAPC1",965.494204655319,0.0356119286738169,0.0829451281548894,0.646542659428852,0.722507827345437
"ANAPC10",192.473849565039,-0.199614421641176,0.120905107323721,0.0861398650830628,0.135106923170301
"ANAPC11",1309.46925842787,-0.275572362395394,0.10163012609846,0.00529897954722909,0.0115757203247644
"ANAPC13",837.314377088959,-0.641518515181563,0.0857818485447674,2.65578172025044e-14,2.80625533407305e-13
"ANAPC15",512.989985274754,-0.73300878030278,0.0825511584973196,1.82372470730351e-19,2.96416711187066e-18
"ANAPC16",3516.29353477487,-0.018580717114746,0.0755607658925134,0.821412305075837,0.867344653211644
"ANAPC1P2",386.52624558992,0.167866771901881,0.127968811231816,0.168493342392537,0.240742797873864
"ANAPC2",838.864127530828,-0.42529353602343,0.0839277728473613,2.42951154548815e-07,1.13156189129456e-06
"ANAPC4",421.789753646427,-0.0980566273308731,0.132619267525595,0.425224313948673,0.51957499759078
"ANAPC5",2357.23239098153,-0.238673633789,0.0544375072694541,9.89979222247588e-06,3.65111603067459e-05
"ANAPC7",952.406054329804,-0.698000517705475,0.0701405522269812,8.33522039643647e-24,1.79504924966114e-22
"ANG",93.6406852386522,1.42220977844539,0.166087079758712,1.17884159116428e-18,1.82111395253303e-17
