"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EGFLAM",40.2052103969508,0.0465409739554421,0.259907507560092,0.179067447463716,0.85788474200182,0.903430840773834
"EGFR",406.756545615062,-0.282647079364244,0.173838129072215,-1.6259210845903,0.103966444149236,0.182190542929349
"EGLN1",6983.77459017131,1.16263750471823,0.0734629405655597,15.82617705972,2.05323152713007e-56,6.29541666538696e-54
"EGLN1P1",213.853534478867,2.03162362910674,0.192387661154916,10.5600516005589,4.56410865951443e-26,2.17848880344634e-24
"EGLN2",2064.94866483851,0.084518610569375,0.0785113919873233,1.07651397370488,0.281697454829345,0.401795148272841
"EGLN3",11717.9600179789,1.64950324211941,0.0903571467855844,18.2553710558573,1.87532411360627e-74,1.69623066075687e-71
"EGR1",2180.8270266778,-1.85280853322397,0.526509633176354,-3.51904013996146,0.000433111172682776,0.00161047916008868
"EGR2",52.974329194553,-0.879858438678747,0.559052358179475,-1.5738390614145,0.115524661023667,0.197951423353831
"EGR3",140.766278761275,-0.319966647366905,0.376548781446533,-0.849734916516622,0.395472481252511,0.520222673977472
"EHBP1",832.857578740748,-0.493478647236476,0.11051366002788,-4.46531810739036,7.99498716910801e-06,4.32762770464285e-05
"EHBP1L1",474.120219911481,0.135045068519906,0.114582900316093,1.17857959736894,0.238565619814535,0.353770969952041
"EHD1",2893.24379145157,-0.613679840109714,0.100539388781777,-6.10387478525176,1.03527402687204e-09,1.06834610074815e-08
"EHD2",2857.68150326738,0.309045231488805,0.107352403473237,2.87879191792711,0.00399201633179539,0.0114883193512852
"EHD3",4807.03441807505,-0.721007196825206,0.101374823367349,-7.11229053600927,1.14132678426029e-12,1.675860513577e-11
"EHD4",3653.22407422766,-0.135119602719122,0.0571458103382518,-2.36447084955722,0.0180558482414978,0.0422221166867496
"EHHADH",135.344053354599,-0.541969873262238,0.132478983170101,-4.09098756869499,4.29540158224292e-05,0.000201305219229986
"EHMT1",1383.20728595903,-0.271240928832944,0.0751613127016548,-3.60878381554627,0.000307635832087524,0.00118710157902374
"EHMT2",1515.56167108977,0.600772178140164,0.0788936112193286,7.61496614054063,2.63760603051441e-14,4.62347801279125e-13
"EI24",2516.62199150817,0.165498638174213,0.0718982575033314,2.30184491142284,0.0213439197964955,0.0486531639514369
"EID1",6425.82683961131,-0.230407628471481,0.0699671962499477,-3.29308076957069,0.000990960025978406,0.00336520872347463
"EID2",662.813627833322,-0.258904885826499,0.0955589507188927,-2.70937346924334,0.00674104119442585,0.018100851299861
"EID2B",83.0792985106216,-0.0192801955933952,0.217436409266446,-0.088670502141016,0.929343776049251,0.952781462665398
"EID3",19.3192369508806,-0.198689974312635,0.308418082934412,-0.644222843298356,0.51943094003285,0.635990020501726
