"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"S100A13",1364.94800780853,-0.0654638774674121,0.092121805763132,0.419512854136737,0.62306958385333
"S100A16",2408.58773779349,-0.422989148590384,0.0906117141596634,5.11330594593038e-07,1.15049383783434e-05
"S100A2",44.0097460577303,-0.106988144545783,0.165564116982911,0.308250112597461,0.517084990438433
"S100A3",15.2203608414525,-1.25022111686663,0.404360682321182,8.82835489671655e-05,0.000968495694855078
"S100A4",1856.01347517069,-0.288668352548371,0.087317367302344,0.0002821599129409,0.0026122174130506
"S100A6",3219.82897909455,-0.522023581119597,0.120420283604148,1.71520689946206e-06,3.33635406572781e-05
"S100A8",11.963478811788,-0.0549333624660854,0.178053498862858,0.52780360557394,0.712428534907669
"S100PBP",1030.42567470383,-0.100985682882951,0.0861154050259006,0.190871742556576,0.379260798288912
"S1PR1",2142.27300403637,0.753976755806972,0.0851133097045604,7.35058001885663e-20,3.91094095709166e-17
"S1PR1-DT",50.5015281459274,0.0957839289455783,0.147302912173246,0.355876650097148,0.56378041862312
"S1PR2",201.02455392979,0.0672643728270806,0.105516702359322,0.451340210821402,0.649841010325196
"S1PR3",654.090814981686,0.123986692047239,0.0853014279987145,0.108932508369665,0.26166560477109
"S1PR5",16.8987829827713,-1.32320611293434,0.347796862958136,7.48003954555656e-06,0.000118281394562166
"SAAL1",160.660139483341,-0.0185025975910485,0.096785804889811,0.825712556524812,0.90902185741673
"SAC3D1",234.960841735414,-0.0533339493136369,0.119517760176904,0.574164598147083,0.748047359055148
"SACM1L",949.663368031377,0.125477921794086,0.0805687512892147,0.0896562387031912,0.229273587523428
"SACS",2490.6472037065,-0.0261372841296072,0.123772358736285,0.775571908553236,0.881524117259684
"SAE1",2473.39754069326,0.142868549638863,0.0585917722504218,0.0104304476023797,0.04750422888395
"SAFB",2545.69480678272,0.115993873286936,0.0631034188560984,0.0507721568627557,0.1533676121111
"SAFB2",1353.91446973445,0.129804009815549,0.0614507534591418,0.0254640913801732,0.0937986994639243
"SAGSIN1",563.892121436821,-0.133700725779557,0.0794332312924401,0.064888733994586,0.182755285374756
